tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,33697,6969,9358958,147581,2017-08-01 16:23:56+00:00
892177421306343426,29223,5272,9358958,147581,2017-08-01 00:17:27+00:00
891815181378084864,21978,3464,9358958,147581,2017-07-31 00:18:03+00:00
891689557279858688,36790,7191,9358958,147581,2017-07-30 15:58:51+00:00
891327558926688256,35182,7717,9358958,147581,2017-07-29 16:00:24+00:00
891087950875897856,17749,2586,9358958,147581,2017-07-29 00:08:17+00:00
890971913173991426,10331,1647,9358958,147581,2017-07-28 16:27:12+00:00
890729181411237888,56667,15679,9358958,147581,2017-07-28 00:22:40+00:00
890609185150312448,24427,3604,9358958,147581,2017-07-27 16:25:51+00:00
890240255349198849,27829,6068,9359374,147581,2017-07-26 15:59:51+00:00
890006608113172480,26947,6111,9358958,147581,2017-07-26 00:31:25+00:00
889880896479866881,24487,4141,9358958,147581,2017-07-25 16:11:53+00:00
889665388333682689,41877,8302,9358959,147581,2017-07-25 01:55:32+00:00
889638837579907072,23580,3700,9358959,147581,2017-07-25 00:10:02+00:00
889531135344209921,13313,1874,9358959,147581,2017-07-24 17:02:04+00:00
889278841981685760,22026,4419,9358959,147581,2017-07-24 00:19:32+00:00
888917238123831296,25533,3742,9358959,147581,2017-07-23 00:22:39+00:00
888804989199671297,22392,3513,9358959,147581,2017-07-22 16:56:37+00:00
888554962724278272,17252,2863,9358959,147581,2017-07-22 00:23:06+00:00
888078434458587136,19101,2885,9358959,147581,2017-07-20 16:49:33+00:00
887705289381826560,26530,4516,9358959,147581,2017-07-19 16:06:48+00:00
887517139158093824,40587,9810,9358959,147581,2017-07-19 03:39:09+00:00
887473957103951883,59977,14952,9358959,147581,2017-07-19 00:47:34+00:00
887343217045368832,29490,8775,9358959,147581,2017-07-18 16:08:03+00:00
887101392804085760,26897,4969,9358959,147581,2017-07-18 00:07:08+00:00
886983233522544640,30240,6287,9358959,147581,2017-07-17 16:17:36+00:00
886736880519319552,10453,2616,9358959,147581,2017-07-16 23:58:41+00:00
886680336477933568,19655,3720,9358959,147581,2017-07-16 20:14:00+00:00
886366144734445568,18489,2613,9358959,147581,2017-07-15 23:25:31+00:00
886267009285017600,105,4,9358959,147581,2017-07-15 16:51:35+00:00
886258384151887873,24445,5253,9358959,147581,2017-07-15 16:17:19+00:00
886054160059072513,0,93,9358959,147581,2017-07-15 02:45:48+00:00
885984800019947520,28497,5589,9358959,147581,2017-07-14 22:10:11+00:00
885528943205470208,31485,5306,9358959,147581,2017-07-13 15:58:47+00:00
885518971528720385,17941,3097,9358959,147581,2017-07-13 15:19:09+00:00
885311592912609280,0,15364,9358959,147581,2017-07-13 01:35:06+00:00
885167619883638784,19191,3652,9358959,147581,2017-07-12 16:03:00+00:00
884925521741709313,67012,14943,9358959,147581,2017-07-12 00:01:00+00:00
884876753390489601,24299,4639,9358959,147581,2017-07-11 20:47:12+00:00
884562892145688576,21243,3896,9358959,147581,2017-07-11 00:00:02+00:00
884441805382717440,23778,4776,9358959,147581,2017-07-10 15:58:53+00:00
884247878851493888,63020,16823,9358959,147581,2017-07-10 03:08:17+00:00
884162670584377345,17888,2493,9358959,147581,2017-07-09 21:29:42+00:00
883838122936631299,19072,2850,9359428,147585,2017-07-09 00:00:04+00:00
883482846933004288,40044,8221,9358959,147581,2017-07-08 00:28:19+00:00
883360690899218434,19879,3061,9358959,147581,2017-07-07 16:22:55+00:00
883117836046086144,32387,5513,9358959,147581,2017-07-07 00:17:54+00:00
882992080364220416,20920,3229,9358959,147581,2017-07-06 15:58:11+00:00
882762694511734784,24696,4077,9358959,147581,2017-07-06 00:46:41+00:00
882627270321602560,24527,5042,9358959,147581,2017-07-05 15:48:34+00:00
882268110199369728,39042,9583,9358959,147581,2017-07-04 16:01:23+00:00
882045870035918850,25627,4066,9358959,147581,2017-07-04 01:18:17+00:00
881906580714921986,21374,2839,9358959,147581,2017-07-03 16:04:48+00:00
881666595344535552,44368,8912,9359375,147581,2017-07-03 00:11:11+00:00
881633300179243008,113,8,9358959,147581,2017-07-02 21:58:53+00:00
881536004380872706,43282,13351,9358959,147581,2017-07-02 15:32:16+00:00
881268444196462592,20428,4481,9358959,147581,2017-07-01 21:49:04+00:00
880935762899988482,14995,2325,9358959,147581,2017-06-30 23:47:07+00:00
880872448815771648,18655,3191,9358959,147581,2017-06-30 19:35:32+00:00
880465832366813184,24928,5192,9358959,147581,2017-06-29 16:39:47+00:00
